#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
peters_sword;Rhindon;;;;;;;;;;;;;x
peters_sword_desc;The sword of King Peter, "Rhindon" ,Bane of Wolves;;;;;;;;;;;;;x
susans_bow;Bow of Queen Susan;;;;;;;;;;;;;x
susans_bow_desc;You must use the bow only in great need. It does not easily miss;;;;;;;;;;;;;x
lucys_cordial;Queen Lucy's Cordial;;;;;;;;;;;;;x
lucys_cordial_desc;In this bottle, there is a cordial made of the juice of the fire-flowers that grow in the mountains of the sun. If you or any of your friends are hurt, a few drops will restore them;;;;;;;;;;;;;x
susans_horn;Queen Susan's Horn;;;;;;;;;;;;;x
susans_horn_desc;When you put this horn to your lips and blow it, then, wherever you are, I think help of some kind will come to you.;;;;;;;;;;;;;x
jadis_wand;Jadis's Wand;;;;;;;;;;;;;x
jadis_wand_desc;A Great Wand of Ice, this wand belongs to Jadis who used it to freeze her enemies.;;;;;;;;;;;;;x
sword_tier_3_dragonpyre;Dragonpyre;;;;;;;;;;;;;x
sword_tier_3_dragonpyre_desc;The sword of King Olvin, used to kill the dragon of Mt Pire;;;;;;;;;;;;;x
peters_sword;Sword of King Peter;;;;;;;;;;;;;x
peters_sword_desc;Sword of King Peter;;;;;;;;;;;;;x
crown_of_the_moon;Crown of the Moon;;;;;;;;;;;;;x
crown_of_the_moon_desc;The Crown of the Moon Goddess;;;;;;;;;;;;;x





















